Transect	Line	Family	Genus	species	LIANA	N(IND)	STEMDBH1	STEMDBH2	STEMDBH3	STEMDBH4	STEMDBH5	STEMDBH6	STEMDBH7	STEMDBH8	STEMDBH9	STEMDBH10	STEMDBH11	STEMDBH12	STEMDBH13
tayrona	8	SAPOTACEAE	Pradosia	colombiana              		1	12												
tayrona	9	SAPOTACEAE	Pradosia	colombiana              		1	2,5												
tayrona	7	STERCULIACEAE	Guazuma	tomentosa                		1	9	8											
tayrona	1	THEOPHRASTACEAE	Jacquinia	aristata               		1	2,5												
tayrona	7	THEOPHRASTACEAE	Jacquinia	aristata               		1	2,5												
tayrona	8	THEOPHRASTACEAE	Jacquinia	aristata               		1	15												
tayrona	1	VERBENACEAE	Vitex	compressa          	 	2	20	14											
tayrona	1	VITACEAE	Cissus	verticellata	L	2	2,5	2,5											
tayrona	3	VITACEAE	Cissus	verticellata	L	1	2,5												
colosoi	4	ACANTHACEAE	Barleria	M1		1	2,5												
colosoi	6	ACANTHACEAE	Barleria	M1		1	2,5												
colosoi	2	AMARANTHACEAE	Chamissoa	altissima            	L	2	2,5	2.5											
colosoi	4	AMARANTHACEAE	Chamissoa	altissima            	L	4	4												
colosoi	5	AMARANTHACEAE	Chamissoa	altissima            	L	1	2,5												
colosoi	10	AMARANTHACEAE	Chamissoa	altissima            	L	1	2,5												
colosoi	1	ANACARDIACEAE	Astronium	graveolens          		1	14												
colosoi	9	ANACARDIACEAE	Astronium	graveolens          		1	18												
colosoi	1	ANACARDIACEAE	Spondias	mombin                  		1	52												
colosoi	3	ANACARDIACEAE	Spondias	mombin                  		1	2,5												
colosoi	3	ANNONACEAE	Oxandra	M1		1	11												
colosoi	7	ANNONACEAE	Xylopia	M1		1	3												
colosoi	8	APOCYNACEAE	Aspidosperma	curranii         		1	7	4											
colosoi	9	APOCYNACEAE	Aspidosperma	M1		1	11												
colosoi	1	APOCYNACEAE	Aspidosperma	polyneuron		2	3	3											
colosoi	2	APOCYNACEAE	Aspidosperma	polyneuron		2	3	2.5	3										
colosoi	3	APOCYNACEAE	Aspidosperma	polyneuron		1	11												
colosoi	4	APOCYNACEAE	Aspidosperma	polyneuron		3	2,5	13	5										
colosoi	5	APOCYNACEAE	Aspidosperma	polyneuron		1	3												
colosoi	1	APOCYNACEAE	Forsteronia	spicata              	L	1	5												
colosoi	4	APOCYNACEAE	Plumeria	M1		1	6												
colosoi	6	APOCYNACEAE	Stemmadenia	glabra               		1	3												
colosoi	7	APOCYNACEAE	Stemmadenia	glabra               		2	2,5	2.5											
colosoi	1	APOCYNACEAE	Tabernaemontana	amygdalifolia      		2	6	3											
colosoi	5	APOCYNACEAE	Tabernaemontana	amygdalifolia      		1	3												
colosoi	8	APOCYNACEAE	Tabernaemontana	amygdalifolia      		1	4	2.5											
colosoi	7	ARACEAE	Anthurium	pentaphyllum	H	1	2,5												
colosoi	2	ASCLEPIADACEAE	M1	M1	L	1	2,5												
colosoi	2	ASTERACEAE	Koanophyllon	celtidifolia		1	3												
colosoi	3	ASTERACEAE	Koanophyllon	celtidifolia		1	6												
colosoi	10	BIGNONIACEAE	Adenocalymna	inundatum	L	1	2,5												
colosoi	1	BIGNONIACEAE	Adenocalymna	inundatum        	L	1	2,5												
colosoi	8	BIGNONIACEAE	Adenocalymna	inundatum        	L	1	2,5												
colosoi	2	BIGNONIACEAE	Arrabidaea	conjugata          	L	1	2,5												
colosoi	3	BIGNONIACEAE	Arrabidaea	mollissima         	L	1	2,5												
colosoi	6	BIGNONIACEAE	Arrabidaea	mollissima         	L	1	5												
colosoi	1	BIGNONIACEAE	Clytostoma	pterocalyx          	L	7	2,5	2.5	4	2.5	2.5	2.5	3						
colosoi	2	BIGNONIACEAE	Clytostoma	pterocalyx          	L	2	3	3											
colosoi	4	BIGNONIACEAE	Clytostoma	pterocalyx          	L	1	2,5												
colosoi	5	BIGNONIACEAE	Clytostoma	pterocalyx          	L	3	2,5	2.5	4										
colosoi	6	BIGNONIACEAE	Clytostoma	pterocalyx          	L	1	2,5												
colosoi	7	BIGNONIACEAE	Clytostoma	pterocalyx          	L	9	2,5	2.5	3	2.5	2.5	2.5	2.5	3	2.5	3			
colosoi	10	BIGNONIACEAE	Clytostoma	pterocalyx          	L	1	2,5												
colosoi	2	BIGNONIACEAE	Cydista	heterophylla           	L	1	5												
colosoi	3	BIGNONIACEAE	Cydista	heterophylla           	L	1	5												
colosoi	4	BIGNONIACEAE	Mansoa	verrucifera               	L	1	2,5												
colosoi	7	BIGNONIACEAE	Stizophyllum	riparium            	L	1	2,5												
colosoi	1	BIGNONIACEAE	Tabebuia	impetiginosa            		5	2,5	4	3	2.5	5								
colosoi	3	BIGNONIACEAE	Tabebuia	impetiginosa            		2	5	19											
colosoi	4	BIGNONIACEAE	Tabebuia	impetiginosa            		2	8	24											
colosoi	5	BIGNONIACEAE	Tabebuia	impetiginosa            		2	6	2.5											
colosoi	6	BIGNONIACEAE	Tabebuia	impetiginosa            		1	2,5												
colosoi	10	BIGNONIACEAE	Tabebuia	impetiginosa            		1	5												
colosoi	4	BOMBACACEAE	Cavanillesia	platanifolia      		1	71	42											
colosoi	10	BOMBACACEAE	Cavanillesia	platanifolia      		2	28	18											
colosoi	3	BOMBACACEAE	Ceiba	pentandra               		1	43												
colosoi	4	BOMBACACEAE	Pseudobombax	septinatum		1	54												
colosoi	1	BURSERACEAE	Bursera	simarouba		2	21	29											
colosoi	1	BUXACEAE	Buxus	citrifolia              		1	5	2.5											
colosoi	4	BUXACEAE	Buxus	citrifolia              		1	3												
colosoi	10	BUXACEAE	Buxus	citrifolia              		1	4	4											
colosoi	1	CACTACEAE	M1	M1	L	1	8												
colosoi	2	CACTACEAE	M1	M1	L	1	6												
colosoi	1	CAPPARIDACEAE	Capparis	flexuosa		1	2,5												
colosoi	7	CAPPARIDACEAE	Capparis	flexuosa		1	5												
colosoi	8	CAPPARIDACEAE	Capparis	flexuosa		1	6												
colosoi	7	CAPPARIDACEAE	Capparis	frondosa              		1	3												
colosoi	8	CAPPARIDACEAE	Capparis	frondosa              		1	4												
colosoi	9	CAPPARIDACEAE	Capparis	frondosa              		3	6	2.5	2.5										
colosoi	2	CARICACEAE	Carica	cauliflora              		4	2,5	2.5	6	5									
colosoi	3	CARICACEAE	Carica	cauliflora              		2	2,5	3											
colosoi	4	CARICACEAE	Carica	cauliflora              		2	2,5	3											
colosoi	5	CARICACEAE	Carica	cauliflora              		7	2,5	4	2.5	4	2.5	6	6						
colosoi	10	CARICACEAE	Carica	cauliflora              		4	2,5	2.5	2.5	3									
colosoi	3	CECROPIACEAE	Cecropia	M1		1	3												
colosoi	8	CECROPIACEAE	Cecropia	M1		1	2,5												
colosoi	9	CELASTRACEAE	Anthodon	decussatum		1	3												
colosoi	2	CELASTRACEAE	Hemiangium	M1	L	1	2,5												
colosoi	4	CELASTRACEAE	Hemiangium	M1	L	2	2,5	5											
colosoi	5	CELASTRACEAE	Hemiangium	M1	L	1	2,5												
colosoi	1	CELASTRACEAE	Hippocratea	M1	L	1	4												
colosoi	6	CELASTRACEAE	Hippocratea	M1	L	1	4												
colosoi	7	CELASTRACEAE	Hippocratea	M1	L	1	13	7											
colosoi	9	CELASTRACEAE	Hippocratea	M1	L	1	9												
colosoi	3	CELASTRACEAE	M1	M1	L	1	3												
colosoi	5	CELASTRACEAE	M1	M1		1	2,5												
colosoi	8	CELASTRACEAE	Tontelea	M1	L	1	4												
colosoi	8	COMBRETACEAE	Combretum	fruticosum	L	1	10												
colosoi	8	COMBRETACEAE	Combretum	laxum	L	1	7												
colosoi	1	COMBRETACEAE	Combretum	M1	L	1	2,5												
colosoi	2	COMBRETACEAE	Combretum	M1	L	2	5	2.5											
colosoi	3	COMBRETACEAE	Combretum	M1	L	1	6												
colosoi	1	COMBRETACEAE	Combretum	M2	L	1	11												
colosoi	4	COMBRETACEAE	Combretum	M3	L	1	5												
colosoi	6	COMBRETACEAE	Terminalia	obovata               		1	14												
colosoi	9	CONNARACEAE	Rourea	M1	L	1	10												
colosoi	3	CONVOLVULACEAE	Ipomoea	M1	L	1	5												
colosoi	9	CONVOLVULACEAE	Ipomoea	M1	L	2	10	16											
colosoi	8	CUCURBITACEAE	M1	M1	L	1	2,5												
colosoi	1	DIOSCOREACEAE	Dioscorea	M1	L	2	2,5	2.5											
colosoi	1	EUPHORBIACEAE	Cnidoscolus	M1		1	5												
colosoi	2	EUPHORBIACEAE	Drypetes	M1		1	4												
colosoi	1	EUPHORBIACEAE	Hura	crepitans                   		2	6	8											
colosoi	8	EUPHORBIACEAE	Hura	crepitans                   		1	49												
colosoi	1	EUPHORBIACEAE	Phyllanthus	anisolobus           		1	2,5	7											
colosoi	2	EUPHORBIACEAE	Phyllanthus	anisolobus           		2	2,5	13											
colosoi	3	EUPHORBIACEAE	Phyllanthus	anisolobus           		1	5												
colosoi	4	EUPHORBIACEAE	Phyllanthus	anisolobus           		1	2,5												
colosoi	7	EUPHORBIACEAE	Phyllanthus	anisolobus           		2	2,5	2.5	2.5										
colosoi	4	FABACEAE	Acacia	riparia                	L	1	2,5												
colosoi	2	FABACEAE	Coursetia	M1		1	2,5												
colosoi	1	FABACEAE	Dalbergia	monetaria              	L	1	4												
colosoi	6	FABACEAE	Dalbergia	monetaria              	L	1	4												
colosoi	7	FABACEAE	Dalbergia	monetaria              	L	1	3												
colosoi	8	FABACEAE	Dalbergia	monetaria              	L	1	7												
colosoi	1	FABACEAE	Hymenaea	M1		1	50												
colosoi	2	FABACEAE	Hymenaea	M1		1	34												
colosoi	3	FABACEAE	Hymenaea	M1		1	3												
colosoi	5	FABACEAE	Hymenaea	M1		1	21												
colosoi	7	FABACEAE	Hymenaea	M1		2	2,5	12											
colosoi	1	FABACEAE	Machaerium	M1	L	1	2,5												
colosoi	6	FABACEAE	Machaerium	M1	L	1	6												
colosoi	7	FABACEAE	Machaerium	M1	L	1	12												
colosoi	3	FABACEAE	Peltogyne	purpurea		1	30												
colosoi	6	FABACEAE	Pithecellobium	M1		1	2,5												
colosoi	2	FABACEAE	Platymiscium	M1		1	2,5												
colosoi	3	FABACEAE	Platymiscium	M1		1	22												
colosoi	4	FABACEAE	Platymiscium	M1		1	3												
colosoi	6	FABACEAE	Platymiscium	M1		1	6												
colosoi	2	FABACEAE	Pterocarpus	floribundus          		1	5	4	3										
colosoi	6	FABACEAE	Pterocarpus	floribundus          		1	2,5												
colosoi	7	FABACEAE	Pterocarpus	floribundus          		1	2,5												
colosoi	9	FABACEAE	Pterocarpus	M1		1	6												
colosoi	1	FLACOURTIACEAE	Casearia	M1		1	7	10											
colosoi	3	FLACOURTIACEAE	Casearia	M1		1	5												
colosoi	4	FLACOURTIACEAE	Casearia	M1		1	6												
colosoi	3	FLACOURTIACEAE	Casearia	M2		1	8												
colosoi	6	FLACOURTIACEAE	Casearia	M2		1	7												
colosoi	10	FLACOURTIACEAE	Casearia	M2		3	7	7	6										
colosoi	7	FLACOURTIACEAE	Casearia	M3		1	6												
colosoi	9	FLACOURTIACEAE	Casearia	M4		1	5	4											
colosoi	4	FLACOURTIACEAE	Xylosma	M1		1	13												
colosoi	1	HERNANDIACEAE	Gyrocarpus	americanus            		1	16												
colosoi	10	HERNANDIACEAE	Gyrocarpus	americanus            		1	7												
colosoi	1	MALPIGHIACEAE	Hiraea	reclinata	L	1	4												
colosoi	1	MELIACEAE	Trichilia	acuminata		1	10												
colosoi	7	MELIACEAE	Trichilia	acuminata		1	3	13											
colosoi	8	MELIACEAE	Trichilia	acuminata		4	9	5	2.5	14	9								
colosoi	9	MELIACEAE	Trichilia	acuminata		5	4	3	5	5	4	4	4						
colosoi	4	MELIACEAE	Trichilia	M1		1	12	10											
colosoi	6	MELIACEAE	Trichilia	M2		1	2,5												
colosoi	7	MELIACEAE	Trichilia	M2		4	3	10	18	15									
colosoi	8	MELIACEAE	Trichilia	M2		2	5	5											
colosoi	9	MELIACEAE	Trichilia	M2		1	15												
colosoi	10	MELIACEAE	Trichilia	M2		1	4												
colosoi	1	MORACEAE	Brosimum	alicastrum           	 	1	10												
colosoi	2	MORACEAE	Brosimum	alicastrum           		2	4	18											
colosoi	5	MORACEAE	Brosimum	alicastrum           		1	4												
colosoi	10	MORACEAE	Brosimum	alicastrum           		1	6												
colosoi	7	MORACEAE	Brosimum	guianensis           		1	26												
colosoi	8	MORACEAE	Brosimum	guianensis           		1	2,5												
colosoi	2	MORACEAE	Ficus	citrifolia                      		1	46												
colosoi	5	MORACEAE	Ficus	citrifolia                      	L	1	55	2.5	15	41									
colosoi	3	MORACEAE	Sorocea	M1		1	2,5												
colosoi	5	MORACEAE	Sorocea	M1		1	4												
colosoi	7	MORACEAE	Sorocea	M1		1	2,5												
colosoi	9	MYRTACEAE	M1	M1		2	3	4											
colosoi	3	NYCTAGINACEAE	Neea	M1		1	19												
colosoi	3	NYCTAGINACEAE	Neea	M2		1	6												
colosoi	5	NYCTAGINACEAE	Neea	M2		1	10	9											
colosoi	7	NYCTAGINACEAE	Neea	M2		1	10												
colosoi	10	NYCTAGINACEAE	Neea	M2		1	2,5												
colosoi	1	OCHNACEAE	Ouratea	M1		1	2,5												
colosoi	3	OLACACEAE	Heisteria	M1		1	35												
colosoi	4	OLACACEAE	Heisteria	M1		1	7												
colosoi	2	POLYGONACEAE	Triplaris	M1		1	6												
colosoi	8	POLYGONACEAE	Triplaris	M1		1	3	12											
colosoi	9	RHAMNACEAE	Gouania	M1	L	1	2,5												
colosoi	2	RUBIACEAE	Chiococca	alba                	L	1	3												
colosoi	4	RUBIACEAE	Chiococca	alba                	L	1	3												
colosoi	5	RUBIACEAE	Chiococca	alba                	L	2	2,5	2.5											
colosoi	8	RUBIACEAE	Chiococca	alba                	L	1	2,5												
colosoi	2	RUBIACEAE	Simira	cordifolia		1	16	3											
colosoi	3	RUBIACEAE	Simira	cordifolia		2	2,5	2.5											
colosoi	4	RUBIACEAE	Simira	cordifolia		2	11	3											
colosoi	5	RUBIACEAE	Simira	cordifolia		1	3												
colosoi	6	RUBIACEAE	Simira	cordifolia		1	6												
colosoi	7	RUBIACEAE	Simira	cordifolia		3	3	7	10	3									
colosoi	9	RUBIACEAE	Simira	cordifolia		1	11												
colosoi	2	RUTACEAE	M1	M1		1	2,5												
colosoi	2	RUTACEAE	Pilocarpus	M1		1	5												
colosoi	3	RUTACEAE	Pilocarpus	M1		1	11												
colosoi	6	RUTACEAE	Pilocarpus	M1		1	9	4											
colosoi	7	SAPINDACEAE	Sapindus	M1		1	4												
colosoi	6	SAPINDACEAE	Serjania	M1	L	1	2,5												
colosoi	7	SAPINDACEAE	Serjania	M2	L	1	3												
colosoi	4	SAPINDACEAE	Talisia	M1		1	6												
colosoi	7	SAPINDACEAE	Talisia	M1		1	2,5												
colosoi	4	SAPINDACEAE	Talisia	M2		2	6	3											
colosoi	8	SAPINDACEAE	Talisia	M2		1	2,5												
colosoi	10	SAPINDACEAE	Talisia	M2		1	8												
colosoi	1	SAPINDACEAE	Thinouia	myriantha               	L	1	2,5												
colosoi	9	SAPINDACEAE	Thinouia	myriantha               	L	1	5												
colosoi	6	SAPOTACEAE	Chrysophyllum	M1		1	14												
colosoi	7	SAPOTACEAE	M1	M1		1	3												
colosoi	8	SAPOTACEAE	Manilkara	M1		1	4												
colosoi	1	SAPOTACEAE	Pouteria	M1		1	14												
colosoi	5	SAPOTACEAE	Pouteria	M2		1	25												
colosoi	2	STERCULIACEAE	Guazuma	ulmifolia                		1	8												
colosoi	3	STERCULIACEAE	Guazuma	ulmifolia                		1	8												
colosoi	2	TILIACEAE	Apeiba	tibourbou              		1	12												
colosoi	3	TILIACEAE	Apeiba	tibourbou              		1	10												
colosoi	4	TRIGONIACEAE	Trigonia	M1	L	1	2,5												
colosoi	7	TRIGONIACEAE	Trigonia	M1	L	1	2,5												
colosoi	8	ULMACEAE	Celtis	M1		1	15	15											
colosoi	9	ULMACEAE	Celtis	M1		1	11												
colosoi	2	ULMACEAE	Trema	micrantha                  		1	2,5												
colosoi	5	URTICACEAE	Urera	baccifera          		1	2,5												
colosoi	9	URTICACEAE	Urera	baccifera          		1	4												
colosoi	10	URTICACEAE	Urera	baccifera          		1	2,5												
colosoi	9	URTICACEAE	Urera	caracasana         		1	3												
colosoi	6	VERBENACEAE	Aegiphila	M1		1	2,5												
colosoi	4	VERBENACEAE	Vitex	M1		1	4												
colosoi	10	VERBENACEAE	Vitex	M1		1	5	3											
colosoi	2	VIOLACEAE	Hybanthus	prunifolius		1	2,5												
colosoi	1	VITACEAE	Cissus	M1	L	1	2,5												
colosoi	2	VITACEAE	Cissus	M1	L	2	3	4											
colosoi	3	VITACEAE	Cissus	M1		2	2,5	2.5											
colosoi	4	VITACEAE	Cissus	M1	L	1	2,5												
colosoi	8	VITACEAE	Cissus	M1		1	2,5												
colosoi	9	VITACEAE	Cissus	M1	L	2	2,5	3											
